,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,2012,307438,158097,102053,61399,186677
1,Japan,2012,48229,38207,29580,24135,26881
2,Germany,2012,73051,35153,30681,25054,45032
3,China,2012,109989,94271,108067,118684,57835
4,Italy,2012,44173,25434,17678,12039,24470
5,France,2012,51453,24904,20464,19120,31418
6,United Kingdom,2012,87642,45219,28461,18806,51904
7,Australia,2012,38338,21655,13039,7185,21902
8,Russian Federation,2012,8375,6059,11568,19120,4832
9,Spain,2012,39395,20968,16224,12714,23247
10,Saudi Arabia,2012,4264,3683,3115,1842,2130
11,Norway,2012,9059,4738,3410,1814,5120
12,Canada,2012,48295,26065,16332,8945,28233
13,South Korea,2012,28959,22651,17356,8876,15342
14,Switzerland,2012,22045,8746,6311,4275,14325
15,India,2012,27441,28606,31583,24217,11933
16,Sweden,2012,18745,8949,5113,3257,11254
17,Brazil,2012,18324,17081,18911,10940,8907
18,Poland,2012,10623,9398,12075,8092,4912
19,Finland,2012,8885,4479,2805,1688,5135
20,Taiwan,2012,19719,11927,7605,4951,10505
21,Denmark,2012,12208,5365,3042,2413,7397
22,Austria,2012,10061,5235,3981,3222,6016
23,Belgium,2012,15511,7601,5454,3516,9230
24,Mexico,2012,6166,4607,4485,3909,3223
25,Israel,2012,9852,5299,3240,1763,6017
26,Slovakia,2012,1658,1527,1646,1304,845
