,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI
0,China,2015,109,88711110.91,189895012.8,9046772.0,8069.213023895109,0.743
1,United States,2015,199,172582178.19999987,246058722.42999998,10733270.0,56443.817242258214,0.92
2,Japan,2015,37,38438914.0,49400667.79,3487404.0,34567.745675099504,0.905
3,Switzerland,2015,6,8724951.0,11043118.600000001,243152.0,82016.02131294321,0.9420000000000001
4,Germany,2015,33,29870244.5,38060201.4,1487324.0,41323.921502168996,0.9329999999999999
5,Saudi Arabia,2015,6,9788963.6,13026704.0,388240.0,20732.861721856498,0.8540000000000001
6,Italy,2015,4,6115183.34,8304418.0,310072.0,30180.3215146877,0.8759999999999999
7,South Korea,2015,10,7186951.899999999,9689205.239999998,283568.0,27105.076226264,0.898
8,France,2015,18,12252180.0,14699173.4,766540.0,36613.3752159613,0.898
9,Russian Federation,2015,7,4736512.0,6951848.159999999,208844.0,9329.29071323649,0.813
10,Poland,2015,6,4599964.0,6080545.6,172076.0,12566.4834429716,0.855
11,United Kingdom,2015,18,11601324.05,14230096.200000001,724184.0,44305.5546320834,0.9179999999999999
12,Czech Republic,2015,1,1457730.0,2011641.0,76896.0,17715.6168523009,0.882
13,Sweden,2015,3,2130709.0,2846925.2,89264.0,50812.1908597713,0.929
14,Finland,2015,2,1564396.7,2085657.8,50136.0,42424.2208075022,0.915
15,Australia,2015,4,3127009.0,3909860.7,161627.0,56561.4123818054,0.9359999999999999
16,Netherlands,2015,2,1369405.0,1755744.0,60312.0,44746.334048523604,0.9259999999999999
17,Spain,2015,2,1199031.0,1357824.0,65280.0,25789.519548147597,0.885
18,India,2015,11,4933697.8,6662387.16,236692.0,1606.0382849889002,0.627
19,Canada,2015,6,1903949.7999999998,2354783.84,168992.0,43525.3701865304,0.92
20,Austria,2015,1,596010.0,681574.4,32768.0,44206.7842820834,0.903
21,New Zealand,2015,1,470648.8,768000.0,19200.0,38649.3784975761,0.914
22,Brazil,2015,6,2012268.0,2722149.6,119280.0,8750.22299607324,0.757
23,Denmark,2015,2,773880.0,1066080.0,26688.0,53012.996583500804,0.9259999999999999
24,Norway,2015,1,396700.0,458598.0,22048.0,74498.13763927,0.948
25,Mexico,2015,1,277504.0,366912.0,8820.0,9290.76062857618,0.767
26,Bulgaria,2015,1,264214.0,412320.0,20700.0,6993.475543706961,0.807
27,Hungary,2015,1,253600.0,363840.0,4890.0,12483.8659406349,0.8340000000000001
28,Hong Kong,2015,1,234248.0,476928.0,25920.0,42431.8882817277,0.927
29,Croatia,2015,1,233565.0,287539.0,6912.0,11757.890041793798,0.8270000000000001
