,Country,Year,Q1,Q2,Q3,Q4,Top10
0,United States,1997,183525,98888,53972,29443,106974
1,United Kingdom,1997,49622,27555,14229,6203,24490
2,Japan,1997,36139,30152,20891,14669,17421
3,Germany,1997,34185,23614,17554,10440,16798
4,France,1997,25797,16410,11586,6461,13115
5,Canada,1997,21799,13815,7511,3467,11517
6,Finland,1997,4337,2438,1325,601,2181
7,Sweden,1997,9417,5497,2580,1390,4762
8,South Korea,1997,5192,3579,3308,1559,2344
9,Italy,1997,17742,12404,7533,3528,8538
10,Norway,1997,2990,1847,1516,438,1437
11,Netherlands,1997,13003,6867,3687,1939,6950
12,Denmark,1997,4747,2626,1908,516,2478
13,Switzerland,1997,8319,4324,2652,1565,4638
14,Australia,1997,12649,8787,4586,1813,6194
15,Russian Federation,1997,6448,5594,9669,12151,2667
16,Spain,1997,11731,7905,5834,2508,5728
17,Taiwan,1997,5351,3534,2214,1011,2542
18,Liechtenstein,1997,17,12,1,2,5
19,Brazil,1997,4148,3691,2668,1201,1835
20,Israel,1997,5962,3702,2047,827,3176
21,Mexico,1997,2228,1565,1118,831,934
22,South Africa,1997,1727,1827,1138,393,772
