"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1993",20122.696155,
"AUS","GDP","TOT","USD_CAP","A","1994",21370.823442,
"AUS","GDP","TOT","USD_CAP","A","1995",22368.47031,
"AUS","GDP","TOT","USD_CAP","A","1996",23224.596138,
"AUS","GDP","TOT","USD_CAP","A","1997",24402.342917,
"AUS","GDP","TOT","USD_CAP","A","1998",25620.976195,
"AUS","GDP","TOT","USD_CAP","A","1999",27085.925497,
"AUS","GDP","TOT","USD_CAP","A","2000",28248.615639,
"AUS","GDP","TOT","USD_CAP","A","2001",29466.367162,
"AUS","GDP","TOT","USD_CAP","A","2002",30728.220694,
"AUS","GDP","TOT","USD_CAP","A","2003",32169.793201,
"AUS","GDP","TOT","USD_CAP","A","2004",33864.600404,
"AUS","GDP","TOT","USD_CAP","A","2005",35545.426558,
"AUS","GDP","TOT","USD_CAP","A","2006",37822.176273,
"AUS","GDP","TOT","USD_CAP","A","2007",39560.693954,
"AUS","GDP","TOT","USD_CAP","A","2008",40036.193305,
"AUS","GDP","TOT","USD_CAP","A","2009",41538.258081,
"AUS","GDP","TOT","USD_CAP","A","2010",42755.68074,
"AUS","GDP","TOT","USD_CAP","A","2011",44340.570281,
"AUS","GDP","TOT","USD_CAP","A","2012",43809.9188,
"AUS","GDP","TOT","USD_CAP","A","2013",47678.929472,
"AUS","GDP","TOT","USD_CAP","A","2014",47551.004198,
"AUS","GDP","TOT","USD_CAP","A","2015",47378.275356,
"AUS","GDP","TOT","USD_CAP","A","2016",48829.027796,
"AUS","GDP","TOT","USD_CAP","A","2017",50762.309778,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21700.725466,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22607.735592,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23658.759946,
"AUT","GDP","TOT","USD_CAP","A","1996",24523.894617,
"AUT","GDP","TOT","USD_CAP","A","1997",25412.359688,
"AUT","GDP","TOT","USD_CAP","A","1998",26652.828948,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29375.396801,
"AUT","GDP","TOT","USD_CAP","A","2001",29739.951109,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32119.016757,
"AUT","GDP","TOT","USD_CAP","A","2004",33765.565737,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37631.127824,
"AUT","GDP","TOT","USD_CAP","A","2007",39387.139009,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40928.181598,
"AUT","GDP","TOT","USD_CAP","A","2010",42058.754579,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49925.227796,
"AUT","GDP","TOT","USD_CAP","A","2016",50923.693301,
"AUT","GDP","TOT","USD_CAP","A","2017",52512.267248,
"BEL","GDP","TOT","USD_CAP","A","1993",20549.817613,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21600.146315,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22529.740186,
"BEL","GDP","TOT","USD_CAP","A","1996",22885.316912,
"BEL","GDP","TOT","USD_CAP","A","1997",23917.069316,
"BEL","GDP","TOT","USD_CAP","A","1998",24543.946055,
"BEL","GDP","TOT","USD_CAP","A","1999",25643.320168,
"BEL","GDP","TOT","USD_CAP","A","2000",27984.686172,
"BEL","GDP","TOT","USD_CAP","A","2001",28981.381462,
"BEL","GDP","TOT","USD_CAP","A","2002",30482.159886,
"BEL","GDP","TOT","USD_CAP","A","2003",31054.694844,
"BEL","GDP","TOT","USD_CAP","A","2004",32249.938092,
"BEL","GDP","TOT","USD_CAP","A","2005",33331.115656,
"BEL","GDP","TOT","USD_CAP","A","2006",35390.703792,
"BEL","GDP","TOT","USD_CAP","A","2007",36865.209673,
"BEL","GDP","TOT","USD_CAP","A","2008",38133.402295,
"BEL","GDP","TOT","USD_CAP","A","2009",38003.726688,
"BEL","GDP","TOT","USD_CAP","A","2010",40089.477213,
"BEL","GDP","TOT","USD_CAP","A","2011",41450.360532,
"BEL","GDP","TOT","USD_CAP","A","2012",42585.15311,
"BEL","GDP","TOT","USD_CAP","A","2013",43745.951564,
"BEL","GDP","TOT","USD_CAP","A","2014",44717.305952,
"BEL","GDP","TOT","USD_CAP","A","2015",45561.175737,
"BEL","GDP","TOT","USD_CAP","A","2016",46566.544596,
"BEL","GDP","TOT","USD_CAP","A","2017",47941.661165,
"CAN","GDP","TOT","USD_CAP","A","1993",21365.196777,
"CAN","GDP","TOT","USD_CAP","A","1994",22551.987107,
"CAN","GDP","TOT","USD_CAP","A","1995",23395.473915,
"CAN","GDP","TOT","USD_CAP","A","1996",23954.649762,
"CAN","GDP","TOT","USD_CAP","A","1997",25156.150049,
"CAN","GDP","TOT","USD_CAP","A","1998",26197.932922,
"CAN","GDP","TOT","USD_CAP","A","1999",27745.751307,
"CAN","GDP","TOT","USD_CAP","A","2000",29265.221478,
"CAN","GDP","TOT","USD_CAP","A","2001",30133.352284,
"CAN","GDP","TOT","USD_CAP","A","2002",30854.823032,
"CAN","GDP","TOT","USD_CAP","A","2003",32224.015719,
"CAN","GDP","TOT","USD_CAP","A","2004",33815.119074,
"CAN","GDP","TOT","USD_CAP","A","2005",36212.643556,
"CAN","GDP","TOT","USD_CAP","A","2006",38009.872181,
"CAN","GDP","TOT","USD_CAP","A","2007",39441.964993,
"CAN","GDP","TOT","USD_CAP","A","2008",40277.618235,
"CAN","GDP","TOT","USD_CAP","A","2009",38791.071038,
"CAN","GDP","TOT","USD_CAP","A","2010",40027.204359,
"CAN","GDP","TOT","USD_CAP","A","2011",41565.258933,
"CAN","GDP","TOT","USD_CAP","A","2012",42145.104092,
"CAN","GDP","TOT","USD_CAP","A","2013",44101.430586,
"CAN","GDP","TOT","USD_CAP","A","2014",45519.871933,
"CAN","GDP","TOT","USD_CAP","A","2015",44647.371352,
