"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3405.06877507013,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4157.5295956608,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5106.08768755269,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5205.37779953847,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5529.40126321386,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6176.63471885179,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7492.03740479303,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8351.39001746538,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9459.46387590201,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9440.65685468416,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10275.204171924,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12286.7292331009,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",13849.276471974,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17113.6644076267,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",20262.3291764202,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",20591.8985131489,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",20725.6161021354,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",21607.9881880432,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",20369.0109942191,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90277382240702,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02415767405232,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17926063868888,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13756613756614,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16338222812248,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25971259640227,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.46219393370744,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50973214953687,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.58339164870311,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43888118928495,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.4780934381057,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.65015462861654,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73315953077651,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00684701122891,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24899110070555,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18601220885874,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11778460716195,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09750616627898,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.8787011841379,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2034.70781998295,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2162.432363805,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2244.71583883637,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2344.17999306256,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2406.7935774906,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2543.17232421053,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",2593.44455575063,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",2765.23961622218,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",2918.12026625947,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3153.12746885317,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",3447.18264150815,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",3487.60973599545,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",3547.68530877615,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",3832.02339488936,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",3986.48761410934,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4216.21808197763,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",4506.37896851888,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",4883.93016169048,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",5390.08252440498,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",5694.78707427446,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",6091.31427748979,
