"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","THND_USD_CAP","A","2009",13822.27,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2010",14193.61,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2011",14584.01,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2012",14794.41,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2013",16230.21,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2014",16395.18,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2015",16631.06,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2016",17005.12,"E"
"AUS","GGREV","TOT","PC_GDP","A","1970",24.6129416435093,
"AUS","GGREV","TOT","PC_GDP","A","1971",25.3884379286309,
"AUS","GGREV","TOT","PC_GDP","A","1972",25.6559766763848,
"AUS","GGREV","TOT","PC_GDP","A","1973",26.3902949034967,
"AUS","GGREV","TOT","PC_GDP","A","1974",28.1145893366694,
"AUS","GGREV","TOT","PC_GDP","A","1975",29.2334130484419,
"AUS","GGREV","TOT","PC_GDP","A","1976",29.5533576262363,
"AUS","GGREV","TOT","PC_GDP","A","1977",29.4271305044188,
"AUS","GGREV","TOT","PC_GDP","A","1978",28.844953524857,
"AUS","GGREV","TOT","PC_GDP","A","1979",29.8392737554878,
"AUS","GGREV","TOT","PC_GDP","A","1980",30.3066960323461,
"AUS","GGREV","TOT","PC_GDP","A","1981",30.1423933473828,
"AUS","GGREV","TOT","PC_GDP","A","1982",31.3664005076411,
"AUS","GGREV","TOT","PC_GDP","A","1983",31.4449783194656,
"AUS","GGREV","TOT","PC_GDP","A","1984",33.1098482429815,
"AUS","GGREV","TOT","PC_GDP","A","1985",33.8740366320078,
"AUS","GGREV","TOT","PC_GDP","A","1986",35.1936964215081,
"AUS","GGREV","TOT","PC_GDP","A","1987",34.6761497286585,
"AUS","GGREV","TOT","PC_GDP","A","1988",34.0752791138001,
"AUS","GGREV","TOT","PC_GDP","A","1989",32.9068610218501,
"AUS","GGREV","TOT","PC_GDP","A","1990",33.2846849150502,
"AUS","GGREV","TOT","PC_GDP","A","1991",32.6574961118647,
"AUS","GGREV","TOT","PC_GDP","A","1992",32.2251493116328,
"AUS","GGREV","TOT","PC_GDP","A","1993",33.9357412473,
"AUS","GGREV","TOT","PC_GDP","A","1994",33.8368714451227,
"AUS","GGREV","TOT","PC_GDP","A","1995",34.5161761110237,
"AUS","GGREV","TOT","PC_GDP","A","1996",35.4828369269446,
"AUS","GGREV","TOT","PC_GDP","A","1997",35.6441199325962,
"AUS","GGREV","TOT","PC_GDP","A","1998",36.6164301122457,
"AUS","GGREV","TOT","PC_GDP","A","1999",37.3292941459525,
"AUS","GGREV","TOT","PC_GDP","A","2000",35.1303837018244,
"AUS","GGREV","TOT","PC_GDP","A","2001",35.1586260499799,
"AUS","GGREV","TOT","PC_GDP","A","2002",35.7059708129119,
"AUS","GGREV","TOT","PC_GDP","A","2003",35.9514772469673,
"AUS","GGREV","TOT","PC_GDP","A","2004",36.0932629440214,
"AUS","GGREV","TOT","PC_GDP","A","2005",36.4787655955144,
"AUS","GGREV","TOT","PC_GDP","A","2006",36.2541411516433,
"AUS","GGREV","TOT","PC_GDP","A","2007",35.2600113800961,
"AUS","GGREV","TOT","PC_GDP","A","2008",33.1251957002373,
"AUS","GGREV","TOT","PC_GDP","A","2009",32.7445828929572,
"AUS","GGREV","TOT","PC_GDP","A","2010",32.4136502196619,
"AUS","GGREV","TOT","PC_GDP","A","2011",32.5102886157135,
"AUS","GGREV","TOT","PC_GDP","A","2012",33.3419389496715,
"AUS","GGREV","TOT","PC_GDP","A","2013",33.6369891513596,
"AUS","GGREV","TOT","PC_GDP","A","2014",34.220897444437,
"AUS","GGREV","TOT","PC_GDP","A","2015",34.8903714380057,
"AUS","GGREV","TOT","PC_GDP","A","2016",34.9874966091533,
"AUT","GGREV","TOT","THND_USD_CAP","A","2009",19979.13,
"AUT","GGREV","TOT","THND_USD_CAP","A","2010",20355.82,
"AUT","GGREV","TOT","THND_USD_CAP","A","2011",21497.9,
"AUT","GGREV","TOT","THND_USD_CAP","A","2012",22785.18,
"AUT","GGREV","TOT","THND_USD_CAP","A","2013",23823.39,
"AUT","GGREV","TOT","THND_USD_CAP","A","2014",24209.45,
"AUT","GGREV","TOT","THND_USD_CAP","A","2015",24953.85,
"AUT","GGREV","TOT","THND_USD_CAP","A","2016",24768.67,
"AUT","GGREV","TOT","THND_USD_CAP","A","2017",25347.83,
"AUT","GGREV","TOT","PC_GDP","A","1995",49.6721028827847,
"AUT","GGREV","TOT","PC_GDP","A","1996",51.1207790824718,
"AUT","GGREV","TOT","PC_GDP","A","1997",49.6963180470758,
"AUT","GGREV","TOT","PC_GDP","A","1998",49.5280157879986,
"AUT","GGREV","TOT","PC_GDP","A","1999",49.4656282066992,
"AUT","GGREV","TOT","PC_GDP","A","2000",48.6283187663595,
"AUT","GGREV","TOT","PC_GDP","A","2001",50.6941296654331,
"AUT","GGREV","TOT","PC_GDP","A","2002",49.6731297413785,
"AUT","GGREV","TOT","PC_GDP","A","2003",49.4845651167507,
"AUT","GGREV","TOT","PC_GDP","A","2004",48.9001282699533,
"AUT","GGREV","TOT","PC_GDP","A","2005",48.6471693027056,
"AUT","GGREV","TOT","PC_GDP","A","2006",47.844492913175,
"AUT","GGREV","TOT","PC_GDP","A","2007",47.8895000200192,
"AUT","GGREV","TOT","PC_GDP","A","2008",48.3787193513277,
"AUT","GGREV","TOT","PC_GDP","A","2009",48.8150908322971,
"AUT","GGREV","TOT","PC_GDP","A","2010",48.3985083439947,
"AUT","GGREV","TOT","PC_GDP","A","2011",48.3433488539885,
"AUT","GGREV","TOT","PC_GDP","A","2012",49.0239697697533,
"AUT","GGREV","TOT","PC_GDP","A","2013",49.6975890231305,
