Scopus SourceID,Title,CiteScore,Percentile,Citation Count,Type,Quartile,Top 10% (CiteScore Percentile)
28773,Ca-A Cancer Journal for Clinicians,"130,47",99,16961,Journal,Quartile 1,Top 10%
28773,Ca-A Cancer Journal for Clinicians,"130,47",99,16961,Journal,Quartile 1,Top 10%
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,"63,12",99,1010,Journal,Quartile 1,Top 10%
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,"63,12",99,1010,Journal,Quartile 1,Top 10%
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,"63,12",99,1010,Journal,Quartile 1,Top 10%
19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,"63,12",98,1010,Journal,Quartile 1,Top 10%
23340,Chemical Reviews,"51,08",99,44389,Journal,Quartile 1,Top 10%
23350,Chemical Society Reviews,"39,42",99,42223,Journal,Quartile 1,Top 10%
58530,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System","36,13",98,1120,Book Series,Quartile 1,Top 10%
29719,Reviews of Modern Physics,"34,49",99,4242,Journal,Quartile 1,Top 10%
17814,Materials Science and Engineering: R: Reports,"31,32",99,1190,Journal,Quartile 1,Top 10%
17814,Materials Science and Engineering: R: Reports,"31,32",99,1190,Journal,Quartile 1,Top 10%
17814,Materials Science and Engineering: R: Reports,"31,32",99,1190,Journal,Quartile 1,Top 10%
17899,Progress in Materials Science,"30,87",99,3087,Journal,Quartile 1,Top 10%
17500155114,Energy and Environmental Science,"30,87",99,31983,Journal,Quartile 1,Top 10%
17500155114,Energy and Environmental Science,"30,87",99,31983,Journal,Quartile 1,Top 10%
17500155114,Energy and Environmental Science,"30,87",99,31983,Journal,Quartile 1,Top 10%
17500155114,Energy and Environmental Science,"30,87",99,31983,Journal,Quartile 1,Top 10%
20651,Annual Review of Immunology,"29,94",99,2126,Journal,Quartile 1,Top 10%
20651,Annual Review of Immunology,"29,94",99,2126,Journal,Quartile 1,Top 10%
24004,Physiological Reviews,"29,92",99,3261,Journal,Quartile 1,Top 10%
24004,Physiological Reviews,"29,92",99,3261,Journal,Quartile 1,Top 10%
24004,Physiological Reviews,"29,92",99,3261,Journal,Quartile 1,Top 10%
26978,Advances in Physics,"27,06",99,487,Journal,Quartile 1,Top 10%
26651,Annual Review of Astronomy and Astrophysics,"26,27",99,1261,Book Series,Quartile 1,Top 10%
26651,Annual Review of Astronomy and Astrophysics,"26,27",99,1261,Book Series,Quartile 1,Top 10%
17900156715,IEEE Communications Surveys and Tutorials,"26,26",99,8612,Journal,Quartile 1,Top 10%
21100812243,Nature Reviews Materials,"25,79",99,2631,Journal,Quartile 1,Top 10%
21100812243,Nature Reviews Materials,"25,79",99,2631,Journal,Quartile 1,Top 10%
