,Country,Iso3
0,United States,USA
1,China,CHN
2,United Kingdom,GBR
3,Germany,DEU
4,Japan,JPN
5,France,FRA
6,Canada,CAN
7,Italy,ITA
8,India,IND
9,Spain,ESP
10,Australia,AUS
11,South Korea,KOR
12,Russian Federation,RUS
13,Netherlands,NLD
14,Brazil,BRA
15,Switzerland,CHE
16,Taiwan,TWN
17,Sweden,SWE
18,Poland,POL
19,Turkey,TUR
20,Belgium,BEL
21,Iran,IRN
22,Denmark,DNK
23,Austria,AUT
24,Israel,ISR
25,Finland,FIN
26,Czech Republic,CZE
27,Greece,GRC
28,Mexico,MEX
29,Norway,NOR
30,Portugal,PRT
31,Singapore,SGP
32,Hong Kong,HKG
33,Malaysia,MYS
34,South Africa,ZAF
35,New Zealand,NZL
36,Argentina,ARG
37,Ireland,IRL
38,Egypt,EGY
39,Hungary,HUN
40,Ukraine,UKR
41,Thailand,THA
42,Saudi Arabia,SAU
43,Romania,ROU
44,Chile,CHL
45,Pakistan,PAK
46,Slovakia,SVK
47,Croatia,HRV
48,Slovenia,SVN
49,Colombia,COL
50,Tunisia,TUN
51,Indonesia,IDN
52,Nigeria,NGA
53,Serbia,SRB
54,Bulgaria,BGR
55,Algeria,DZA
56,Morocco,MAR
57,Lithuania,LTU
58,United Arab Emirates,ARE
59,Viet Nam,VNM
60,Bangladesh,BGD
61,Venezuela,VEN
62,Cuba,CUB
63,Estonia,EST
64,Belarus,BLR
65,Jordan,JOR
66,Kenya,KEN
67,Philippines,PHL
68,Lebanon,LBN
69,Cyprus,CYP
70,Kuwait,KWT
71,Latvia,LVA
72,Qatar,QAT
73,Peru,PER
74,Iceland,ISL
75,Kazakhstan,KAZ
76,Iraq,IRQ
77,Ethiopia,ETH
78,Luxembourg,LUX
79,Uruguay,URY
80,Oman,OMN
81,Sri Lanka,LKA
82,Ghana,GHA
83,Georgia,GEO
84,Puerto Rico,PRI
85,Armenia,ARM
86,Tanzania,TZA
87,Uganda,UGA
88,Cameroon,CMR
89,Ecuador,ECU
90,Azerbaijan,AZE
91,Nepal,NPL
92,Costa Rica,CRI
93,Macedonia,MKD
94,Uzbekistan,UZB
95,Bosnia and Herzegovina,BIH
96,Zimbabwe,ZWE
97,Senegal,SEN
98,Macao,MAC
99,Sudan,SDN
100,Moldova,MDA
101,Syrian Arab Republic,SYR
102,Botswana,BWA
103,Malawi,MWI
104,Malta,MLT
105,Panama,PAN
106,Trinidad and Tobago,TTO
107,Burkina Faso,BFA
108,Palestine,PSE
109,Jamaica,JAM
110,Bahrain,BHR
111,Côte d’Ivoire,CIV
112,Zambia,ZMB
