,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,AUS,GDEXPRD,,8351.390017465379,,9459.463875902009,,9440.656854684159,,10275.204171924,,12286.729233100901,,13849.276471973999,,17113.6644076267,,20262.3291764202,,20591.8985131489,20725.616102135402,,21607.9881880432,,20369.010994219097,,
1,AUT,GDEXPRD,3547.68530877615,3832.02339488936,3986.4876141093396,4216.2180819776295,4506.378968518879,4883.9301616904795,5390.08252440498,5694.787074274461,6091.31427748979,6421.549244049809,6822.6519405462295,6982.0555993246,7821.340996383409,8043.717061973421,8552.922390823249,9219.707268009359,8966.854943109409,9586.50029694663,9658.8619100342,10621.1509582085,10770.3832883799,11279.6626701661,11322.9478308825,11635.132769805301,
2,BEL,GDEXPRD,4969.35075900667,5099.714382065129,5285.69095372455,5668.5096922579105,6100.22616597336,6320.76572021802,6786.68315263402,7151.13521390425,7581.631474543191,7216.81121001473,7046.173420976559,7211.1685603081905,7253.649697568891,7568.7424155731205,7958.659174914491,8368.98034815543,8440.766079074041,8958.22353303057,9584.11978675045,10132.5930026146,10423.5510689606,10800.5083506177,11315.4764306057,11578.7705398995,
3,CAN,GDEXPRD,14188.658492282,15312.0474173458,15435.9412110175,15239.6593542792,15961.977969219299,17577.2409570221,18909.610542630402,21122.2580958845,23382.508213687797,23497.492611593,23873.3025234695,24976.1908161596,25433.990038057902,25720.2478269461,25709.917698693902,25311.7141262565,25382.0616294914,24903.0745682261,25148.2444011652,25376.8933152308,25027.2041907452,25868.881404773198,25079.5243204889,24736.7690695693,24305.4994413702
4,CZE,GDEXPRD,,,1713.31973611983,1812.16882515954,2002.6547480753898,2138.3628199393697,2147.09554335035,2363.26747577895,2410.47132324599,2447.38393892663,2640.00176385344,2765.1418167794,3004.32233195138,3384.3826463937,3778.6859805294002,3692.49200415599,3671.31979289211,3878.0683875218397,4593.06441120968,5220.00486537649,5536.98642502936,5906.21551635839,6082.290009808729,5428.380818968711,
5,DNK,GDEXPRD,2969.57844588057,,3410.61901481664,3544.1314363320703,3826.7614926759497,4153.99921850909,4535.35445206238,,5183.326788468789,5469.1009649833795,5646.5039514062,5585.4826077648995,5655.060412079921,5899.98525167837,6232.1355788048595,6836.27755307354,7161.107831711751,6965.393685682429,7125.25375978684,7230.14499358567,7271.27420027755,7248.633347601371,7474.71148522979,7399.4734975067295,
6,FIN,GDEXPRD,2652.03048353573,2912.30433956347,3023.32391985774,3487.82775380572,3962.84710830064,4438.12441100615,5083.6229189238,5703.35172695153,5764.48740054033,5970.31720841966,6172.99922934827,6440.224952522329,6648.862626057521,6934.80518534666,7312.175587416659,7808.01526141261,7569.742291421659,7748.722410166609,7761.996855176741,7190.11618390616,6859.542929042061,6571.775362967571,6013.92899640073,5824.42256858221,
7,FRA,GDEXPRD,39836.5614370069,39884.9531079646,40225.7366308295,40451.4091569116,39985.0223690796,40399.6286713711,42033.5452237315,43368.1135707585,45157.3224041263,46440.8965289266,45646.75948909231,46358.1903229604,46134.1098865878,47216.6978738545,47708.9970446778,48667.684961118604,50694.3140597897,50908.1617763668,52277.7403126656,53220.4315712306,53766.47990279309,55219.5722183136,55591.1239875651,55780.3941395542,
8,DEU,GDEXPRD,56515.2825658187,55715.7414888437,56825.2245132943,57462.481570798496,59665.420655608395,61782.23185864901,66471.1957888863,70136.0405956076,71143.77464126151,72033.9265744998,72741.7847465899,72520.00014767589,73085.0773275588,76837.5882690128,79029.42965812031,84808.8043657433,84029.152379131,87047.6413894575,92958.8210394261,95838.8421117363,94727.13331076539,98329.70043522259,101578.033334441,104075.24525598099,
9,GRC,GDEXPRD,851.198544428957,,919.01618547859,,1015.1080787470099,,1439.5209315834602,,1533.7739031627698,,1647.2798301176902,1669.74631454117,1844.2931326199898,1888.71975624923,2003.9664637542899,2292.67986014247,2073.85972802617,1875.03353175816,1913.3209952843104,1846.50175717368,2072.03766459173,2143.9302296469396,2479.06178629771,2576.97948404082,
