Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,11036243,9875662,267612868,122087837,"24,25",2077
2,China,5133924,5052579,39244368,21831514,"7,64",712
3,United Kingdom,3150874,2705067,68803194,15755046,"21,84",1281
4,Germany,2790169,2590028,54834760,13548169,"19,65",1131
5,Japan,2539441,2437565,39049963,10407744,"15,38",920
6,France,1967157,1837639,37865266,8085273,"19,25",1023
7,Canada,1594391,1446619,34945308,6216383,"21,92",1033
8,Italy,1583746,1451214,28548485,6597300,"18,03",898
9,India,1472192,1379217,12637866,4329674,"8,58",521
10,Spain,1256556,1156724,20661273,4705368,"16,44",775
11,Australia,1226552,1093833,23347703,4866812,"19,04",848
12,South Korea,1004042,973360,12299582,2501499,"12,25",576
13,Russian Federation,956025,936928,6758715,2144568,"7,07",503
14,Netherlands,886135,806509,22670416,3483031,"25,58",893
15,Brazil,834526,794371,8714980,2887006,"10,44",489
16,Switzerland,650079,598455,17229374,2208073,"26,5",866
17,Taiwan,614487,593852,7746794,1530538,"12,61",437
18,Sweden,600233,557344,14593911,2136863,"24,31",778
19,Poland,580205,558878,5763359,1465411,"9,93",479
20,Turkey,531899,496582,5048456,1164227,"9,49",368
21,Belgium,485937,448557,10725773,1418742,"22,07",702
22,Iran,448079,434656,3369979,1232563,"7,52",257
23,Denmark,355418,326297,8873574,1206436,"24,97",662
24,Austria,354524,326433,6998066,892664,"19,74",577
25,Israel,346372,319737,7806952,1004710,"22,54",624
26,Finland,305791,286738,6717452,983229,"21,97",571
27,Czech Republic,292956,282474,3163668,704584,"10,8",396
28,Greece,290718,266402,4512105,677290,"15,52",434
29,Mexico,284868,269516,3261821,645436,"11,45",378
30,Norway,281530,254884,5617199,835879,"19,95",526
31,Portugal,270634,251622,3832603,700532,"14,16",416
32,Singapore,265452,246176,4786877,557083,"18,03",492
33,Hong Kong,263602,245629,5024294,597961,"19,06",479
34,Malaysia,248457,239537,1615633,421749,"6,5",249
35,South Africa,241587,220567,3125754,661741,"12,94",391
36,New Zealand,218100,195224,4132745,586856,"18,95",459
37,Argentina,190637,179674,2694266,534794,"14,13",364
38,Ireland,185268,165001,3479970,378709,"18,78",451
39,Egypt,177824,172042,1570448,308989,"8,83",231
40,Hungary,174351,165311,2600038,392020,"14,91",390
41,Ukraine,171571,168607,1022473,276128,"5,96",225
42,Thailand,156829,148862,1740576,273578,"11,1",289
43,Saudi Arabia,155805,148836,1449661,234508,"9,3",271
44,Romania,154390,148718,853373,200434,"5,53",211
45,Chile,130556,123966,1758589,331076,"13,47",318
46,Pakistan,127817,121836,943372,243217,"7,38",217
47,Slovakia,100082,96967,927685,180089,"9,27",241
48,Croatia,95058,90901,805063,150407,"8,47",236
49,Slovenia,86384,82321,1062165,176459,"12,3",255
50,Colombia,84734,80170,762833,116329,9,235
51,Tunisia,76791,73066,552821,119316,"7,2",157
52,Indonesia,75220,72146,466289,71052,"6,2",196
53,Nigeria,75086,71046,513997,105490,"6,85",166
54,Serbia,71566,67575,500904,105256,7,172
55,Bulgaria,70184,67666,719726,105636,"10,25",217
56,Algeria,57222,55916,353325,75167,"6,17",137
57,Morocco,54330,51172,418452,79473,"7,7",162
58,Lithuania,45486,44092,406792,82972,"8,94",179
59,United Arab Emirates,44413,41221,369499,38961,"8,32",169
60,Viet Nam,42330,40470,418199,62623,"9,88",183
61,Bangladesh,40985,38897,362609,63493,"8,85",167
62,Venezuela,37844,36231,426588,49820,"11,27",193
63,Cuba,37055,35317,280993,52012,"7,58",156
64,Estonia,35913,33917,584487,90250,"16,28",234
65,Belarus,35698,34999,284613,52056,"7,97",158
66,Jordan,35267,34138,304831,36722,"8,64",142
67,Kenya,31237,28254,558837,81061,"17,89",216
68,Philippines,27811,25456,392620,39560,"14,12",205
69,Lebanon,27306,24888,297197,28235,"10,88",170
70,Cyprus,23013,20733,288701,33603,"12,55",167
71,Kuwait,22167,21137,225963,24058,"10,19",132
72,Latvia,21635,20977,184245,27330,"8,52",142
73,Qatar,21433,19819,173904,21178,"8,11",120
74,Peru,20308,18467,304057,32178,"14,97",194
75,Iceland,19627,17866,526129,47045,"26,81",269
76,Kazakhstan,19444,18926,70118,13641,"3,61",81
77,Iraq,19023,18227,85546,12853,"4,5",80
78,Ethiopia,18738,17685,196380,41654,"10,48",125
79,Luxembourg,17224,15626,216247,21623,"12,55",151
80,Uruguay,17167,16156,271873,33733,"15,84",161
81,Oman,16938,15589,145218,16695,"8,57",114
82,Sri Lanka,16719,15364,198054,17726,"11,85",146
83,Ghana,16380,15028,186614,23711,"11,39",129
84,Georgia,15828,14626,204175,23320,"12,9",155
85,Puerto Rico,15710,14981,336749,19170,"21,44",197
86,Armenia,15450,15008,193973,35238,"12,55",160
87,Tanzania,15388,14250,252685,37028,"16,42",145
88,Uganda,15129,13839,262609,39485,"17,36",156
89,Cameroon,14294,13438,162533,30129,"11,37",113
90,Ecuador,13907,13087,151755,18976,"10,91",137
91,Azerbaijan,12104,11840,70228,13052,"5,8",87
92,Nepal,12053,10755,133542,15975,"11,08",116
93,Costa Rica,11445,10710,209982,20332,"18,35",164
94,Macedonia,10728,10211,84509,9178,"7,88",97
95,Uzbekistan,10520,10267,64089,11119,"6,09",83
96,Bosnia and Herzegovina,9503,9014,52008,6423,"5,47",79
97,Zimbabwe,9291,8418,134308,14238,"14,46",119
98,Senegal,8964,8367,106112,12488,"11,84",111
99,Macao,8084,7650,60615,6740,"7,5",82
100,Sudan,7950,7534,82452,7882,"10,37",84
101,Moldova,7196,6989,66639,11094,"9,26",97
102,Syrian Arab Republic,6834,6521,79441,7333,"11,62",96
103,Botswana,6596,5872,78878,7394,"11,96",94
