,Country Name,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Aruba,ABW,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,AFG,Scientific and technical journal articles,,,,,,,,,,,7.3,5.8,9.4,10.2,14.5,12.5,23.3,33.9,42.7,35.0,27.3,33.3,23.5,80.4,
2,Angola,AGO,Scientific and technical journal articles,,,,,,,,,,,4.3,8.2,9.9,13.3,9.9,9.9,14.0,15.2,17.8,22.4,24.1,35.7,32.9,39.1,
3,Albania,ALB,Scientific and technical journal articles,,,,,,,,,,,23.9,22.0,26.2,32.6,40.3,51.9,76.8,140.8,165.2,214.1,359.5,360.7,269.0,191.4,
4,Andorra,AND,Scientific and technical journal articles,,,,,,,,,,,4.1,1.3,4.8,5.0,6.2,1.7,2.6,1.2,1.0,3.6,5.9,5.4,7.4,7.9,
5,Arab World,ARB,Scientific and technical journal articles,,,,,,,,,,,10820.8870247332,11847.245272933602,12852.8735421649,14651.5196201677,16204.6981765365,18403.3916116669,21934.5540659806,24677.396886205,28301.1601080008,32155.5154156336,36035.7504137419,38762.2162423373,41224.2239838877,44733.9548195264,
6,United Arab Emirates,ARE,Scientific and technical journal articles,,,,,,,,,,,522.6,537.8,698.1,810.4,756.1,917.8,1024.7,1229.3,1427.8,1645.5,1775.6,1819.0,2261.6,2180.9,
7,Argentina,ARG,Scientific and technical journal articles,,,,,,,,,,,4588.4,4700.7,5009.2,5599.8,5755.0,6356.5,7017.4,7472.5,7961.9,8205.1,8268.5,8955.3,8719.7,8648.2,
8,Armenia,ARM,Scientific and technical journal articles,,,,,,,,,,,311.9,342.2,390.0,360.3,400.5,394.5,446.5,494.3,618.6,550.5,552.0,559.1,531.4,521.0,
9,American Samoa,ASM,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,Scientific and technical journal articles,,,,,,,,,,,1.8,0.7,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9,2.5,3.9,7.8,
11,Australia,AUS,Scientific and technical journal articles,,,,,,,,,,,24849.7,26946.4,31031.7,33100.4,35798.6,36822.3,38996.2,41564.9,44378.3,46386.8,49921.9,52643.6,52147.9,51068.2,
12,Austria,AUT,Scientific and technical journal articles,,,,,,,,,,,7749.6,8065.7,8903.4,9155.2,9882.7,10334.3,10941.2,11214.8,11824.8,12358.5,12557.6,12900.5,12936.7,12366.4,
13,Azerbaijan,AZE,Scientific and technical journal articles,,,,,,,,,,,266.1,350.5,351.0,288.4,417.9,475.0,616.2,605.3,645.9,684.0,481.1,399.6,420.9,480.3,
14,Burundi,BDI,Scientific and technical journal articles,,,,,,,,,,,4.5,5.0,2.8,4.6,5.5,2.5,3.8,12.5,8.5,10.7,16.3,14.9,12.2,10.7,
15,Belgium,BEL,Scientific and technical journal articles,,,,,,,,,,,10811.8,11552.8,12871.1,13035.8,13798.4,14481.3,15055.4,15409.4,16087.9,16971.3,17225.6,17499.2,16851.8,16393.7,
16,Benin,BEN,Scientific and technical journal articles,,,,,,,,,,,47.2,61.1,55.6,75.0,87.1,92.4,122.0,108.9,132.8,146.1,181.3,181.6,189.2,167.3,
17,Burkina Faso,BFA,Scientific and technical journal articles,,,,,,,,,,,76.6,72.1,69.6,101.0,112.9,120.4,136.8,130.9,153.3,209.3,183.5,201.9,219.8,221.8,
18,Bangladesh,BGD,Scientific and technical journal articles,,,,,,,,,,,573.5,532.1,610.8,719.4,1005.8,1119.3,1248.3,1497.8,1521.5,2052.9,2019.4,2361.5,2194.9,2546.1,
19,Bulgaria,BGR,Scientific and technical journal articles,,,,,,,,,,,1688.9,1794.9,2020.2,1928.2,2483.3,2356.5,2552.0,2599.1,2554.0,2733.0,2753.4,2744.4,2605.3,2558.7,
20,Bahrain,BHR,Scientific and technical journal articles,,,,,,,,,,,126.5,136.7,159.0,185.2,172.2,165.6,186.6,205.0,185.2,160.3,236.1,223.6,172.6,210.6,
21,"Bahamas, The",BHS,Scientific and technical journal articles,,,,,,,,,,,5.2,3.0,7.4,5.9,11.1,6.0,9.7,8.8,10.9,7.9,16.9,12.3,12.3,14.4,
22,Bosnia and Herzegovina,BIH,Scientific and technical journal articles,,,,,,,,,,,123.7,175.6,250.6,223.2,243.1,372.6,406.9,494.5,542.6,572.9,494.5,477.8,524.6,508.5,
23,Belarus,BLR,Scientific and technical journal articles,,,,,,,,,,,1177.7,1196.1,1291.6,1159.5,1293.3,1037.8,1171.7,1056.6,1099.4,1015.2,1040.6,1053.0,970.4,936.7,
24,Belize,BLZ,Scientific and technical journal articles,,,,,,,,,,,4.8,4.5,5.8,4.9,2.4,3.6,9.3,11.0,3.4,9.0,9.6,5.2,7.0,5.5,
25,Bermuda,BMU,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bolivia,BOL,Scientific and technical journal articles,,,,,,,,,,,49.4,44.1,58.4,68.8,82.0,95.2,85.1,78.1,86.8,86.8,92.1,94.5,85.3,95.1,
27,Brazil,BRA,Scientific and technical journal articles,,,,,,,,,,,16752.4,19375.9,21869.7,28159.8,31066.2,35532.3,38547.2,41754.9,44585.8,49184.2,51136.2,53667.3,53492.3,53606.6,
28,Barbados,BRB,Scientific and technical journal articles,,,,,,,,,,,41.0,48.4,37.1,44.3,46.5,45.9,34.2,27.7,35.4,47.6,43.5,40.7,49.6,48.4,
29,Brunei Darussalam,BRN,Scientific and technical journal articles,,,,,,,,,,,34.8,29.3,30.3,33.9,42.6,42.4,46.3,47.7,79.4,107.3,126.1,185.9,177.5,216.9,
30,Bhutan,BTN,Scientific and technical journal articles,,,,,,,,,,,3.7,8.4,5.5,15.9,8.1,6.1,12.1,17.2,17.3,18.0,29.3,27.8,23.9,40.2,
31,Botswana,BWA,Scientific and technical journal articles,,,,,,,,,,,114.1,121.2,115.3,178.6,139.2,151.0,134.9,154.2,160.5,156.6,180.9,200.0,167.4,226.6,
32,Central African Republic,CAF,Scientific and technical journal articles,,,,,,,,,,,9.2,8.6,9.6,13.4,8.3,9.5,10.1,14.3,13.3,10.5,11.8,18.7,13.6,28.9,
33,Canada,CAN,Scientific and technical journal articles,,,,,,,,,,,37695.5,41624.3,47087.7,49258.8,52326.3,53416.3,55541.0,56734.1,57925.7,60130.9,60611.1,61539.4,60496.4,57355.8,
34,Central Europe and the Baltics,CEB,Scientific and technical journal articles,,,,,,,,,,,39429.0,43153.5,49540.6,52145.5,57474.8,64670.1,67670.6,72531.0,77039.9,80192.3,82969.8,86565.7,89115.0,85642.6,
35,Switzerland,CHE,Scientific and technical journal articles,,,,,,,,,,,12848.2,13992.8,15384.7,16385.4,16922.5,17438.0,18094.8,18944.0,19932.9,21200.9,21877.8,22502.0,21884.1,21127.6,
36,Channel Islands,CHI,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
37,Chile,CHL,Scientific and technical journal articles,,,,,,,,,,,2063.5,2284.4,2513.5,3122.3,3401.0,3909.1,4162.5,4314.1,4718.3,5256.0,5358.3,6182.4,6515.1,6745.9,
38,China,CHN,Scientific and technical journal articles,,,,,,,,,,,86621.4,119754.6,164747.4,189759.8,215700.4,249972.9,290330.2,316915.3,334045.0,332082.1,362972.9,393962.7,411268.1,426165.3,
39,Cote d'Ivoire,CIV,Scientific and technical journal articles,,,,,,,,,,,92.1,108.8,101.7,99.4,129.2,170.6,155.3,155.8,183.8,192.0,164.8,186.5,194.2,177.5,
40,Cameroon,CMR,Scientific and technical journal articles,,,,,,,,,,,196.9,216.8,275.9,314.6,343.5,328.5,359.4,377.6,438.0,459.4,526.5,618.4,635.3,670.1,
41,"Congo, Dem. Rep.",COD,Scientific and technical journal articles,,,,,,,,,,,16.8,15.5,26.8,25.6,36.0,39.1,42.9,54.9,50.0,78.9,84.3,120.0,131.3,112.8,
42,"Congo, Rep.",COG,Scientific and technical journal articles,,,,,,,,,,,32.4,35.3,42.1,42.3,41.8,45.3,38.8,47.6,49.6,54.9,60.7,76.2,65.9,77.8,
43,Colombia,COL,Scientific and technical journal articles,,,,,,,,,,,676.4,810.6,964.8,1367.8,1571.5,2378.6,2684.1,3141.0,3461.3,4136.7,4662.6,5292.6,5520.5,6120.5,
