,Country Name,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Aruba,ABW,GDP per capita (current US$),,17342.471939574498,16441.7906361916,16585.195530726298,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.944267050098,25921.026051997997,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,,,,,,
1,Afghanistan,AFG,GDP per capita (current US$),,,,,,,,,117.40969079495501,187.845094955388,198.728543552291,219.14135278546502,250.29412990948998,272.563077018147,369.835795969823,373.36111630003603,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.7787462709299,585.85006378237
2,Angola,AGO,GDP per capita (current US$),430.38159527887296,320.657792023357,388.166766342963,512.620965887672,506.884952193443,419.639845318854,385.768853472854,555.2969418633339,526.168742996854,711.1817891617591,779.4683170118241,1041.087109209,1443.99192381072,2062.41521212341,2878.83730535623,3868.57901446005,3347.84490031366,3531.4168783196205,4299.00813636005,4539.467689271501,4804.6338258961205,4707.57809784664,3683.5526074127,3308.7728284557697,4170.31228024945
3,Albania,ALB,GDP per capita (current US$),380.527371084275,619.065163447139,760.559375774093,1046.35851070754,749.58464901464,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.6815573351398,2416.5882350519396,2709.1429306138602,3005.0129033185103,3603.0136853663794,4370.53964653148,4114.13654490945,4094.3588319191795,4437.17806843608,4247.61430826246,4413.08169670601,4578.66672753259,3952.83078116586,4131.872340652721,4537.8624924478
4,Andorra,AND,GDP per capita (current US$),16516.4710272204,16234.809010201201,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21936.530101470802,22228.8464928922,24741.4935704562,32776.4422698769,38503.479614485695,41282.0201219785,43748.772158899905,48582.808455086604,47785.6590856793,43339.3798746543,39736.3540626699,41098.766941722795,38391.080866978504,40619.711297779504,42294.9947269717,36038.2676044596,37231.8156714154,39146.5488360905
5,Arab World,ARB,GDP per capita (current US$),1974.2757754204101,1969.7023445517102,2052.14303284491,2215.9349147626504,2299.15105724555,2169.78921289457,2313.7899714215,2588.7429027847897,2495.3663120256697,2462.79144160802,2721.61572083946,3117.66080599145,3745.7909307621203,4336.718583382571,4937.59821638754,6115.243746674771,5158.2505055007505,5917.245723873729,6854.84452602316,7463.399722510329,7508.57330127736,7452.8146765050205,6413.377161179301,6151.180926852211,6251.1415751198
6,United Arab Emirates,ARE,GDP per capita (current US$),25199.3495771446,25467.1922190635,26847.080053195,28615.582141012597,29199.524610859,26663.3087045186,28260.005016782798,33071.2686869422,31061.5293454235,31311.359356215202,33230.5231807291,36161.1706068291,39439.8019679284,42372.2216623658,42672.6132294857,45758.90553566269,33072.5751663719,35037.8926731322,40434.3663503001,42086.689953233,43315.1414921653,44443.0615141941,39122.049705427205,38517.8003858029,40698.8493360368
7,Argentina,ARG,GDP per capita (current US$),6940.350358069089,7449.4803897724205,7373.42824568235,7683.5740648377405,8172.66432306173,8248.76198864344,7736.369622540541,7669.273915540659,7170.69467365192,2579.19316821209,3330.4370058354802,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.354998995801,14401.974854608101
8,Armenia,ARM,GDP per capita (current US$),357.20433987136704,400.51609188614304,456.375899754645,504.05951404149397,523.283569096003,609.1730253910071,597.433481734807,622.7427476879831,694.430511932268,783.261609869997,930.166156701539,1191.9619199070598,1643.7585429814499,2158.00290895457,3138.8087034124796,4010.02699722693,2993.83253109033,3218.3816548846503,3526.97814267659,3684.80481032649,3843.5912130934003,3994.7123547956603,3617.93574555176,3605.7431168425605,3936.7983196528703
9,American Samoa,ASM,GDP per capita (current US$),,,,,,,,,,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.997194459058,12058.26382343,10352.8227618312,10375.9942154736,11660.329531051999,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307,
10,Antigua and Barbuda,ATG,GDP per capita (current US$),7652.102973745,8218.5974789469,7841.464034294691,8379.57673916578,8755.15649945473,9115.234531722741,9363.186639854399,9932.02978773184,9414.16061299198,9443.06370219244,9801.96706621506,10419.311195125,11452.738802015601,12812.764470431599,14350.9190458994,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,15021.7381833074
11,Australia,AUS,GDP per capita (current US$),17633.3813804079,18045.4390604354,20319.6306283956,21861.32550987,23468.5968306374,21318.964169431798,20521.7775705928,21669.410913093998,19482.5679026647,20074.2293129481,23437.3121454327,30401.5547862944,33961.6818019217,36019.203051188,40905.470893684505,49535.25787377691,42709.8033034787,51936.888711646105,62411.785447396105,67864.6898624672,67990.29003047981,62327.5559390333,56561.4123818054,49896.6811009246,53799.938089959905
12,Austria,AUT,GDP per capita (current US$),24081.5278077646,25646.700659168397,30325.8495818396,29809.0767730821,26705.478599389102,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51704.5411875921,44206.7842820834,44731.010855336106,47290.9116498316
13,Azerbaijan,AZE,GDP per capita (current US$),530.0903798067981,436.19055858199,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.683843432722,763.0730858470849,883.64399654717,1045.02162987002,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5842.805783585761,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4131.61831005055
14,Burundi,BDI,GDP per capita (current US$),162.635224953531,157.543001456617,167.79917167616998,143.853293287245,159.175528123232,144.474612191101,128.696439743929,135.998445465725,133.74276892649098,122.43358929636601,112.84937029219499,127.42966480329599,150.507043368766,165.87941756143,170.799900471753,196.247262831381,204.94465018983996,231.194325649216,260.479907338153,265.285605131269,282.75552520818803,312.74897938701696,300.67655692526296,285.727442064745,320.086870120894
15,Belgium,BEL,GDP per capita (current US$),22403.2168180008,24338.1377018161,28565.919151606602,27701.903287058998,25027.7445890682,25541.674723365602,25444.1392583071,23207.405911007798,23121.6011440246,25052.339390085497,30743.9025377208,35589.6891168402,36967.259183968796,38852.3729277437,44403.7668991523,48424.575596314695,44880.573019622694,44380.1766327308,47702.811894168495,44740.5832481477,46582.669550341205,47351.9741788818,40361.1541907535,41260.9775511468,43323.8073364711
16,Benin,BEN,GDP per capita (current US$),411.92603052228304,279.666504326806,367.387341032599,387.432924636251,361.100269794441,379.442353954477,403.623703839155,374.192394159235,378.736053976421,418.69857634710297,519.292284661195,583.409351430682,601.7999769588749,625.830091976463,706.053541900699,820.151349819346,793.4524300307049,757.695907409377,825.9427853632151,837.9505000753619,915.328155408233,943.686575031401,783.963077800944,788.5324424156951,829.797230600794
17,Burkina Faso,BFA,GDP per capita (current US$),244.127073499416,193.070236298833,235.83219729976898,249.360294415648,229.493117735387,255.71823338169997,265.340115553605,226.47598136698,235.49123243618698,260.763541319743,332.344305065633,371.323086483012,406.998807060623,420.582523292431,475.110012184526,569.7612784202059,552.745552106433,575.446452687734,666.840410055466,673.822818226635,699.781537016479,703.8216564617171,575.314454176312,613.993127495919,670.705913111953
18,Bangladesh,BGD,GDP per capita (current US$),291.714489376625,290.652452863508,319.608700398284,382.935763583537,389.523631359225,395.297460669815,397.35482187217997,405.60330714176695,402.59811515156304,400.61357453335296,432.738897240785,460.75791673039004,484.155407057992,494.05014657654897,541.065148395087,615.7775410530919,681.120536769049,757.6717571768941,835.789340127412,856.342857027401,951.889453456343,1084.56542980269,1210.15876939761,1358.77902884543,1516.51342307197
19,Bulgaria,BGR,GDP per capita (current US$),1278.24717346108,1148.4943993817,1554.04693051431,1208.8751029439802,1346.9105528680802,1771.9961442801502,1643.6114192960902,1609.88245178581,1757.44377980694,2076.83068237844,2698.62424839705,3363.7996442181297,3869.5294551051097,4490.20177692701,5885.949251979549,7261.754492002769,6969.558556683571,6843.26694975885,7813.80669236432,7378.02473005713,7674.861866833659,7853.33293724146,6993.475543706961,7469.447702981129,8031.598442456991
20,Bahrain,BHR,GDP per capita (current US$),9698.13480360754,10130.41306842,10376.9348875001,10544.6671254851,10672.183943685799,10076.187784535,10401.4804488927,13636.3466837798,12868.2109970281,13102.3345682658,14221.992593488601,15846.4764093173,17959.1785373542,19307.995492020502,20977.1105261075,23067.565346517098,19356.6723557874,20722.1038895508,22512.1596038712,23649.366613910097,24737.1717830704,24983.379015335602,22688.8782442968,22560.5812707477,23655.035602401298
21,"Bahamas, The",BHS,GDP per capita (current US$),11402.651522136,11812.464887004098,12239.8714974121,12717.1500052856,22066.2787050911,23557.953526856498,26173.7154769528,27112.2562019537,27439.3587015686,28727.022192607597,28092.4857322025,28076.155100674103,29874.654137142403,30274.9903224846,31018.0294921829,30188.484438275096,28129.6075027617,27979.1149343739,27472.2561707514,28815.527404385,28171.986003605096,28671.3469695344,30483.8201004038,30260.305905447403,30762.0124392644
22,Bosnia and Herzegovina,BIH,GDP per capita (current US$),,318.020001219556,485.617276668141,736.975329355273,978.516728019385,1097.64455461203,1246.49711410019,1461.75052047029,1524.4120215233402,1761.5376471886102,2214.73224591872,2650.64266079793,2968.41180611972,3404.3216977156703,4180.29217625809,5078.31457720914,4701.33442641347,4614.8290411405,5054.32534423757,4722.013403067271,5042.58221304612,5204.24371841169,4584.24254781755,4808.6360428711205,5180.63630093473
23,Belarus,BLR,GDP per capita (current US$),1590.0958819745301,1460.0590758956,1370.67655885011,1452.44548758328,1396.5017856782001,1511.7700526788299,1210.6117195862,1276.2880340999998,1244.37318523431,1479.31458271677,1819.7660592617701,2378.62328600741,3125.8105350285305,3847.4341238215297,4735.657607939989,6377.36973201232,5176.2638299699,6029.3967998293,6519.230194988921,6940.15925359735,7978.872614710759,8318.51268992675,5949.106306997479,5022.62664330491,5726.02967250931
24,Belize,BLZ,GDP per capita (current US$),2833.06134118695,2880.21113281831,2996.3829283495097,3001.66513787229,2952.6021407362605,2991.92497090549,3065.4922477052696,3364.42371065241,3419.2757192608196,3556.56182543496,3679.9095232787104,3831.5380185375,3933.3322154640205,4187.37802969592,4324.87642716156,4470.22079597603,4258.788611437621,4344.15017661252,4517.137719021121,4673.79143513087,4685.249476293,4844.9818592299,4950.25606198927,4960.18179390332,4905.506284012271
25,Bermuda,BMU,GDP per capita (current US$),30900.6948905109,31476.063115306803,33989.7223579821,44826.7890701658,48478.883250409104,51371.7408069836,54245.459737293,56284.168647809405,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,,
26,Bolivia,BOL,GDP per capita (current US$),788.3990281488369,806.221451907106,887.4685242565849,958.4737661775459,1006.9647386991198,1058.7187495042501,1012.50977332125,1007.0028688845099,958.236652408901,913.5756261547999,917.3643104861699,978.334648481852,1046.4273841431698,1233.5944354378698,1389.6373432617802,1736.93505102289,1776.86647562189,1981.1607045043697,2377.67591794125,2645.2277526014605,2947.9385262805104,3124.00030982516,3077.02619917158,3117.3304591215997,3393.95581751781
27,Brazil,BRA,GDP per capita (current US$),2786.1713557447697,3494.64054135109,4740.11981336276,5156.809075137589,5271.41222246603,5075.63121131187,3469.50223662228,3739.1161387651796,3146.94890366357,2819.6481201182,3059.58650690802,3623.0499120929903,4770.18384511293,5860.145829417521,7313.55777336115,8787.61065756604,8553.381368256949,11224.1540829355,13167.472891753301,12291.466852329098,12216.9044643396,12026.619390631298,8750.22299607324,8639.36574344537,9821.407686410079
28,Barbados,BRB,GDP per capita (current US$),7777.554485247859,8148.382410925341,8537.0561869315,9069.16890905997,9549.894078992751,10727.5958385041,11200.5776328426,11567.6661219135,11513.9368638824,11675.347541973899,12028.4803385025,12868.787327301201,14223.2554405147,15439.9921465683,16381.4955640051,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.049282766298,15891.6265491446,16788.6839195944
29,Brunei Darussalam,BRN,GDP per capita (current US$),14572.108534668701,14117.3921420669,15929.163761766398,16789.0371707142,16656.0898805207,12690.6893244622,14097.9315882546,18008.4482589612,16468.1288626009,16846.0219841083,18555.5664851075,21896.6052658777,26102.1334542119,30980.9669198566,32672.367171106802,37951.2805959782,27965.4750379503,35268.1011703581,47017.027300471505,47651.2590896413,44597.279681535,41530.6689792581,30967.890506377003,26939.418047044,28290.585195571202
30,Bhutan,BTN,GDP per capita (current US$),449.68825396791703,524.2981457797371,588.593902705008,609.343017575007,692.126206397877,695.290253251516,751.5757717287829,765.8632357656951,807.938767268667,885.638224530948,997.7417140733031,1097.45708762103,1247.0613916089599,1335.4569058859802,1741.1425516889801,1795.1813072028199,1770.23449659172,2178.92138307967,2458.0459761545003,2422.00801577828,2350.8828892447304,2504.71740655941,2615.31022007844,2773.54713530224,3110.2301125251897
31,Botswana,BWA,GDP per capita (current US$),2783.2379312319,2779.11383174162,3014.8678581541803,3022.17675323195,3065.5272679520194,2869.18250335901,3226.29567410675,3349.06882277651,3128.09779260454,3055.61838247154,4163.0659057844705,4896.58383481133,5351.25373171646,5374.55486690776,5714.047936067429,5623.37956613594,5185.72984538137,6346.15620387349,7645.214611513149,7029.23145024034,7007.6257859017605,7493.76399441735,6527.50816086673,6954.174306293679,7595.595849785591
32,Central African Republic,CAF,GDP per capita (current US$),401.977971585094,260.483571061156,332.677377160771,293.31888541372297,266.607644659504,268.90042312911,271.855116509098,243.542931743829,243.15864862922402,253.706834282582,286.250801903988,313.210598044673,323.980511239888,347.607171913446,397.01715436953,456.861826817016,449.96120409699995,446.443687795492,490.510390672227,483.186093239243,337.484979032029,377.13212632330004,348.381427149795,382.07028106683,418.41128703618205
33,Canada,CAN,GDP per capita (current US$),20017.4298480977,19859.203977836798,20577.4893858895,21183.2200827089,21770.1340814172,20887.8394667666,22167.225849888197,24124.169174631003,23691.5947188738,24167.8043060561,28172.148830908398,31979.8719510723,36189.5883840265,40386.6994835116,44544.526800403895,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52418.3150618347,50633.2088224323,43525.3701865304,42348.9454605979,45032.1199081697
34,Central Europe and the Baltics,CEB,GDP per capita (current US$),2490.81471000362,2826.9191876557397,3516.26421172291,3769.1724476250397,3738.1810749976703,4099.3178123233,3979.3703767657203,3946.5826814270795,4344.83152238149,4924.7786706671395,5945.88883575672,7165.40783356519,8347.546515208709,9465.75112973506,11998.3028196523,14549.9073239168,12258.5724137618,12556.491604711498,13881.2528188507,13003.3361597912,13717.083928458,14144.4857507182,12456.4265235151,12748.9233852545,14122.335849596499
