"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1996",267,3505.8950000000023,5281.125999999987,41298,30068.2309182833,0.879,184103,97505,52300,27639,107952,"cluster_0"
"Country: Japan","Year: 1996",80,2506.5800000000004,3249.714999999998,8534,38436.926311911804,0.845,33290,29200,19092,12718,15908,"cluster_1"
"Country: Germany","Year: 1996",51,660.0620000000005,911.5260000000001,2585,30564.247805838706,0.8390000000000001,30926,21393,15796,8938,14958,"cluster_1"
"Country: United Kingdom","Year: 1996",18,360.486,471.7999999999999,1488,24219.6228487767,0.8440000000000001,47305,26580,13157,5330,23317,"cluster_2"
"Country: France","Year: 1996",17,239.113,356.94499999999994,1402,26871.8290189054,0.83,23842,15234,10352,5801,11995,"cluster_2"
"Country: Netherlands","Year: 1996",9,111.68,143.566,363,28698.6660159512,0.866,12417,6679,3536,1873,6662,"cluster_2"
"Country: Switzerland","Year: 1996",9,129.642,182.45399999999998,1015,46676.850944168,0.8540000000000001,7720,4093,2515,1399,4207,"cluster_2"
"Country: Italy","Year: 1996",6,42.253,59.212,302,23020.099939992204,0.8059999999999999,16974,12002,7086,3409,7986,"cluster_2"
"Country: Australia","Year: 1996",5,50.026,59.199999999999996,93,21861.32550987,0.8859999999999999,12117,8166,4103,1620,5907,"cluster_2"
"Country: Spain","Year: 1996",5,33.039,45.239999999999995,146,16069.207085415801,0.8059999999999999,10659,7424,5066,2150,5098,"cluster_2"
"Country: Canada","Year: 1996",4,82.14,90.506,65,21183.2200827089,0.863,22281,13544,7346,3320,11765,"cluster_2"
"Country: Austria","Year: 1996",4,21.606,44.88,184,29809.0767730821,0.82,3265,2445,1466,664,1605,"cluster_2"
"Country: South Korea","Year: 1996",3,29.05,35.738,88,13137.908070161398,0.789,4288,2948,2468,1170,2023,"cluster_2"
"Country: Denmark","Year: 1996",3,30.709999999999997,36.216,84,35650.724342009904,0.8370000000000001,4306,2449,1327,484,2214,"cluster_2"
"Country: Sweden","Year: 1996",3,31.734,48.81,262,32587.264104464102,0.863,9059,5357,2411,930,4551,"cluster_2"
"Country: Finland","Year: 1996",3,35.635000000000005,53.584,98,25777.6412996396,0.823,4073,2350,1267,525,2006,"cluster_2"
"Country: Taiwan","Year: 1996",1,15.23,21.28,80,,,4945,3251,2146,875,2425,"cluster_2"
"Country: Israel","Year: 1996",1,12.5,17.024,64,19317.871040071,0.828,5598,3492,1825,673,2963,"cluster_2"
"Country: Norway","Year: 1996",1,25.1,38.4,64,37321.4433901355,0.888,2755,1805,1321,417,1282,"cluster_2"
"Country: Saudi Arabia","Year: 1996",1,7.97,10.78,35,8293.22070270384,0.727,698,882,401,174,339,"cluster_2"
"Country: China","Year: 1996",1,6.569,8.512,32,709.413755085039,0.5589999999999999,7316,7748,9339,6558,3084,"cluster_2"
"Country: Hong Kong","Year: 1996",1,6.569,8.512,32,24818.154552351694,0.8109999999999999,2062,1411,849,398,1058,"cluster_2"
"Country: Slovenia","Year: 1996",1,6.192,12.8,64,10801.428430554699,0.7879999999999999,498,383,348,273,190,"cluster_2"
"Country: Singapore","Year: 1996",1,5.872000000000001,7.8,20,26263.016267519302,0.782,1360,1163,500,239,653,"cluster_2"
"Country: South Africa","Year: 1996",1,5.78,7.4479999999999995,28,3440.86422316801,0.647,1628,1629,1063,296,761,"cluster_2"
"Country: Poland","Year: 1996",1,5.452000000000001,7.68,32,4140.983541141421,0.748,3601,3608,3612,1543,1431,"cluster_2"
"Country: New Zealand","Year: 1996",1,4.862,6.24,16,18794.436039393,0.8540000000000001,2354,1742,957,279,1210,"cluster_2"
"Country: Egypt","Year: 1996",1,4.862,6.24,16,1041.5234479608198,0.584,954,970,625,412,406,"cluster_2"
"Country: Luxembourg","Year: 1996",1,4.62,6.48,18,52571.9349918208,0.8170000000000001,23,26,12,10,11,"cluster_2"
